"listpathway","Match"
"Axon regeneration","L-Tryptophan; L-Tryptophan; DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Cyclic AMP; Cyclic AMP"
"B cell receptor signaling pathway","DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)"
"Bacterial chemotaxis","L-Aspartic acid; L-Aspartic acid; D-Ribose; D-Ribose; D-Maltose; D-Maltose; 2-Amino-3-hydroxypropanoic acid; 2-Amino-3-hydroxypropanoic acid"
"Bacterial secretion system","Adenosine triphosphate; Adenosine triphosphate"
"Basal cell carcinoma","Cholesterol; Cholesterol"
"Benzoate degradation","Pyruvic acid; Pyruvic acid; Benzoate; Benzoate; 2-Pyrocatechuic acid; 2-Pyrocatechuic acid; Protocatechuic acid; Protocatechuic acid; Hydroquinone; Hydroquinone; Gentisic acid; Gentisic acid; 3-Oxoadipic acid; 3-Oxoadipic acid; 1,3-Benzenediol; 1,3-Benzenediol; p-Anisic acid; p-Anisic acid; benzene-1,2,4-triol; Cyclohexanecarboxylic acid; Cyclohexanecarboxylic acid; 2,6-Dihydroxybenzoic acid; 2,6-Dihydroxybenzoic acid"
"Benzoxazinoid biosynthesis","Indole; Indole; Indolin-2-one; Indolin-2-one"
"beta-Alanine metabolism","L-Aspartic acid; L-Aspartic acid; beta-Alanine; beta-Alanine; Uracil; Uracil; L-Histidine; L-Histidine; Malonic semialdehyde; Malonic semialdehyde; Gamma-Aminobutyric acid; Gamma-Aminobutyric acid; Dihydrouracil; Dihydrouracil; Pantothenic acid; Pantothenic acid; Hydroxypropionic acid; Hydroxypropionic acid; N-Acetyl-beta-alanine; N-Acetyl-beta-alanine; Ureidopropionic acid; Ureidopropionic acid"
"Betalain biosynthesis","L-Tyrosine; L-Tyrosine; Leucodopachrome; Leucodopachrome; Cyclodopa glucoside; Cyclodopa glucoside"
"Bile secretion","Oxoglutaric acid; Oxoglutaric acid; Cholesterol; Cholesterol; Uric acid; Uric acid; Bilirubin; Bilirubin; Cyclic AMP; Cyclic AMP; Prostaglandin E2; 7-hydroxy-D4-neuroprostane; 20-hydroxy-E4-neuroprostane; 17-hydroxy-E4-neuroprostane; 14-hydroxy-E4-neuroprostane; 17-hydroxy-E4-neuroprostane; 14-hydroxy-E4-neuroprostane; 4-hydroxy-D4-neuroprostane; 20-hydroxy-E4-neuroprostane; Prostaglandin E2; 7-hydroxy-D4-neuroprostane; 4-hydroxy-D4-neuroprostane; Prostaglandin F2a; Prostaglandin F2a; Cholic acid; Cholic acid; Cortisol; Hydrocortisone; Cortisol; Hydrocortisone; Pravastatin; Pravastatin; Sodium glycocholate; Glycocholic acid; Sodium glycocholate; Glycocholic acid; Leukotriene B4; 12-Keto-tetrahydro-leukotriene B4; 6-trans-Leukotriene B4; 6-trans-Leukotriene B4; 12-Keto-tetrahydro-leukotriene B4; Leukotriene B4; Chenodeoxycholic acid; Chenodeoxycholic acid; CE(20:3(8Z,11Z,14Z)); Estrone sulfate; Estrone sulfate; Palmitoyl glucuronide; Deoxycholic acid 3-glucuronide; Palmitoyl glucuronide; Ibuprofen glucuronide; Pregnanediol-3-glucuronide; 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid; Ibuprofen glucuronide; Pregnanediol-3-glucuronide; Cholestane-3,7,12,25-tetrol-3-glucuronide; Deoxycholic acid 3-glucuronide; 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid; Cholestane-3,7,12,25-tetrol-3-glucuronide; Deoxycholic acid; Deoxycholic acid; Dehydroepiandrosterone sulfate; Dehydroepiandrosterone sulfate; Taurocholic acid; Taurocholic acid; Taurochenodesoxycholic acid; Taurochenodesoxycholic acid; Chenodeoxycholic acid glycine conjugate; Chenodeoxycholic acid glycine conjugate; Tetracycline; Tetracycline; Cefazolin; Cefazolin; Valproic acid; Valproic acid"
"Biofilm formation - Escherichia coli","Glycine; Glycine; Cyclic AMP; Cyclic AMP"
"Biofilm formation - Pseudomonas aeruginosa","Cyclic AMP; Cyclic AMP"
"Biofilm formation - Vibrio cholerae","Cyclic AMP; Cyclic AMP"
"Biosynthesis of 12-","Macrocin; Macrocin"
"Biosynthesis of alkaloids derived from histidine and purine","Adenosine monophosphate; Adenosine monophosphate; Pyruvic acid; Pyruvic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; Fumaric acid; Fumaric acid; L-Leucine; L-Leucine; Inosinic acid; Inosinic acid; L-Histidine; L-Histidine; L-Malic acid; L-Malic acid; Citric acid; Citric acid; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; Xanthine; Xanthine; Histamine; Histamine; Histamium; Histamium; Xanthosine; Xanthosine; D-Erythro-imidazole-glycerol-phosphate; D-Erythro-imidazole-glycerol-phosphate; Caffeine; Caffeine"
"Biosynthesis of alkaloids derived from ornithine","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; L-Aspartic acid; L-Aspartic acid; L-Phenylalanine; L-Phenylalanine; Fumaric acid; Fumaric acid; L-Malic acid; L-Malic acid; Citric acid; Citric acid; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; L-Isoleucine; L-Isoleucine; Pipecolic acid; L-Pipecolic acid; L-Pipecolic acid; Pipecolic acid; L(-)-Nicotine pestanal; Nicotine; Tropate; Tropate; L-3-Phenyllactic acid; L-3-Phenyllactic acid; D-Phenyllactic acid; D-Phenyllactic acid; Anabasine; Anabasine"
"Biosynthesis of alkaloids derived from shikimate pathway","Pyruvic acid; Pyruvic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Fumaric acid; Fumaric acid; L-Malic acid; L-Malic acid; Citric acid; Citric acid; Benzoate; Benzoate; L-Valine; L-Valine; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; Vanillin; Vanillin; Methyl n-acetylanthranilate; Methyl n-acetylanthranilate; Harmaline; Harmaline; Psilocin; Psilocin; (R)-Salsolinol; Salsolinol; (R)-Salsolinol; Salsolinol; 3-(4-hydroxyphenyl)propanal; 8-Methylnonenoate; 8-Methylnonenoate"
"Biosynthesis of alkaloids derived from terpenoid and polyketide","Pyruvic acid; Pyruvic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; Fumaric acid; Fumaric acid; L-Malic acid; L-Malic acid; Citric acid; Citric acid; Cholesterol; Cholesterol; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; Geranyl 2-methylbutyrate; Geranyl 2-methylbutyrate; Caprylic acid; Caprylic acid; 27-hydroxy-cholesterol; 27-hydroxy-cholesterol"
"Biosynthesis of amino acids","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; Glycine; Glycine; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Glutamine; L-Glutamine; L-Serine; L-Serine; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Cysteine; L-Cysteine; L-Leucine; L-Leucine; L-Histidine; L-Histidine; Alpha-ketoisovaleric acid; Alpha-ketoisovaleric acid; L-Proline; L-Proline; L-Asparagine; L-Asparagine; Citric acid; Citric acid; Phenylpyruvic acid; Phenylpyruvic acid; L-Valine; L-Valine; L-Threonine; L-Threonine; L-Homoserine; L-Homoserine; Isocitric acid; Isocitric acid; Oxoadipic acid; Oxoadipic acid; Citrulline; Citrulline; L-Isoleucine; L-Isoleucine; N-Acetylornithine; N-Acetylornithine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; N-Acetylglutamic acid; N-Acetylglutamic acid; 3-Dehydroquinate; 3-Dehydroquinate; Aminoadipic acid; Aminoadipic acid; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine; L-Glutamic gamma-semialdehyde; L-Glutamic gamma-semialdehyde; N-Acetyl-L-glutamate 5-semialdehyde; N-Acetyl-L-glutamate 5-semialdehyde; Homocitric acid; Homocitric acid; Tetrahydrodipicolinate; Tetrahydrodipicolinate; (R)-2,3-Dihydroxy-isovalerate; (R)-2,3-Dihydroxy-isovalerate; N-Succinyl-L,L-2,6-diaminopimelate; N-Succinyl-L,L-2,6-diaminopimelate; D-Erythro-imidazole-glycerol-phosphate; D-Erythro-imidazole-glycerol-phosphate; Cysteine-S-sulfate; Cysteine-S-sulfate; 2S-acetyl-2-hydroxy-butanoic acid; 2S-acetyl-2-hydroxy-butanoic acid; (R) 2,3-Dihydroxy-3-methylvalerate; (R) 2,3-Dihydroxy-3-methylvalerate; (S)-2-Acetolactate; (S)-2-Acetolactate; N-a-Acetylcitrulline; N-a-Acetylcitrulline"
"Biosynthesis of cofactors","Adenosine triphosphate; Adenosine triphosphate; ADP; ADP; Uridine 5'-diphosphate; Uridine 5'-diphosphate; Adenosine monophosphate; Adenosine monophosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; Glycine; Glycine; L-Aspartic acid; L-Aspartic acid; L-Glutamine; L-Glutamine; L-Serine; L-Serine; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Tyrosine; L-Tyrosine; L-Cysteine; L-Cysteine; beta-Alanine; beta-Alanine; Inosinic acid; Inosinic acid; Alpha-ketoisovaleric acid; Alpha-ketoisovaleric acid; Citric acid; Citric acid; L-Valine; L-Valine; Glucuronic acid; Glucuronic acid; Riboflavin; Riboflavin; Isocitric acid; Isocitric acid; Oxoadipic acid; Oxoadipic acid; Geranyl 2-methylbutyrate; Geranyl 2-methylbutyrate; QH2; QH2; Ubiquinone-1; Ubiquinone-1; Ubiquinone-2; 5-Aminolevulinic acid; 5-Aminolevulinic acid; Gulonic acid; Gulonic acid; Pantothenic acid; Pantothenic acid; L-Gulonolactone; L-Gulonolactone; Orotidine; Orotidine; Homocitric acid; Homocitric acid; L-Galactose; L-Galactose; Alpha-Tocopherol; Alpha-Tocopherol; Gamma-Tocopherol; Gamma-Tocopherol; L-Formylkynurenine; L-Formylkynurenine; Palmitoyl glucuronide; Deoxycholic acid 3-glucuronide; Palmitoyl glucuronide; Ibuprofen glucuronide; Pregnanediol-3-glucuronide; 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid; Ibuprofen glucuronide; Pregnanediol-3-glucuronide; Cholestane-3,7,12,25-tetrol-3-glucuronide; Deoxycholic acid 3-glucuronide; 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid; Cholestane-3,7,12,25-tetrol-3-glucuronide; Caprylic acid; Caprylic acid; Delta-Tocopherol; Delta-Tocopherol; Beta-tocopherol; Beta-tocopherol; 2-Methyl-6-phytylhydroquinone; 2-Methyl-6-phytylhydroquinone"
"Biosynthesis of enediyne antibiotics","L-Tyrosine; L-Tyrosine"
"Biosynthesis of nucleotide sugars","myo-Inositol; myo-Inositol; N-Acetyl-D-glucosamine; N-Acetyl-D-glucosamine; UDP-D-Xylose; UDP-D-Xylose; Glucuronic acid; Glucuronic acid; Alpha-D-Glucose; Alpha-D-Glucose; N-Acetylmannosamine; N-Acetylmannosamine; UDP-L-arabinose; UDP-L-arabinose; D-Galactose; D-Galactose; L-Fucose; L-Fucose; UDP-D-apiose; UDP-D-apiose; D-Fructose; D-Fructose"
"Biosynthesis of phenylpropanoids","Pyruvic acid; Pyruvic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; Fumaric acid; Fumaric acid; L-Malic acid; L-Malic acid; Citric acid; Citric acid; 2-Pyrocatechuic acid; 2-Pyrocatechuic acid; Protocatechuic acid; Protocatechuic acid; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; Vanillin; Vanillin; 4-Hydroxycinnamic acid; 4-Hydroxycinnamic acid; Gallic acid; Gallic acid; Salicin; Salicin; Apigenin; Apigenin; trans-Ferulic acid; trans-Ferulic acid; Sinapyl alcohol; Sinapyl alcohol; 4-Hydroxycoumarin; 4-Hydroxycoumarin; Coniferyl aldehyde; Genistein; Genistein; Rotenone; Rotenone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Methyl 2-hydroxybenzoate; Methyl 2-hydroxybenzoate"
"Biosynthesis of plant hormones","Adenosine monophosphate; Adenosine monophosphate; Pyruvic acid; Pyruvic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; Fumaric acid; Fumaric acid; Inosinic acid; Inosinic acid; L-Malic acid; L-Malic acid; Citric acid; Citric acid; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; Geranyl 2-methylbutyrate; Geranyl 2-methylbutyrate; Mevalonic acid; Mevalonic acid; (R)-mevalonate; (R)-mevalonate; Indoleacetic acid; Indoleacetic acid; 1-Aminocyclopropanecarboxylic acid; 1-Aminocyclopropanecarboxylic acid; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Alpha-Linolenic acid; Alpha-Linolenic acid"
"Biosynthesis of plant secondary metabolites","Adenosine monophosphate; Adenosine monophosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; Glycine; Glycine; L-Alanine; L-Alanine; Succinic acid; Succinic acid; L-Aspartic acid; L-Aspartic acid; L-Glutamine; L-Glutamine; L-Serine; L-Serine; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Cysteine; L-Cysteine; Fumaric acid; Fumaric acid; L-Leucine; L-Leucine; Inosinic acid; Inosinic acid; L-Histidine; L-Histidine; L-Malic acid; L-Malic acid; L-Asparagine; L-Asparagine; Citric acid; Citric acid; Phenylpyruvic acid; Phenylpyruvic acid; L-Valine; L-Valine; L-Threonine; L-Threonine; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; Geranyl 2-methylbutyrate; Geranyl 2-methylbutyrate; Xanthine; Xanthine; L-Isoleucine; L-Isoleucine; Pipecolic acid; L-Pipecolic acid; L-Pipecolic acid; Pipecolic acid; Mevalonic acid; Mevalonic acid; (R)-mevalonate; (R)-mevalonate; 5-Aminolevulinic acid; 5-Aminolevulinic acid; 1-Aminocyclopropanecarboxylic acid; 1-Aminocyclopropanecarboxylic acid; Linoleic acid; Linoleic acid; Cinnamyl alcohol; trans-Cinnamyl alcohol; trans-Cinnamyl alcohol; Cinnamyl alcohol; Alpha-Tocopherol; Alpha-Tocopherol; Caprylic acid; Caprylic acid; Alpha-Linolenic acid; Alpha-Linolenic acid; Caffeine; Caffeine"
